,name,url,symbol,last_traded_date,last_traded_price,outstanding_shares
239,"Sta. Lucia Land, Inc.",https://www.pse.com.ph/company-information-sli,SLI,"October 12, 2021",2.88,8196450000
240,SM Investments Corporation,https://www.pse.com.ph/company-information-sm,SM,"October 12, 2021",999.0,1204582867
241,San Miguel Corporation,https://www.pse.com.ph/company-information-smc,SMC,"October 12, 2021",115.9,2378524978
242,"SM Prime Holdings, Inc.",https://www.pse.com.ph/company-information-smph,SMPH,"October 12, 2021",35.35,28879231694
243,"SOCResources, Inc.",https://www.pse.com.ph/company-information-soc,SOC,"October 12, 2021",0.69,901920568
244,SPC Power Corporation,https://www.pse.com.ph/company-information-spc,SPC,"October 12, 2021",13.5,1496551803
245,Seafront Resources Corporation,https://www.pse.com.ph/company-information-spm,SPM,"October 12, 2021",2.02,163000000
246,Supercity Realty Development Corporation,https://www.pse.com.ph/company-information-srdc,SRDC,"January 01, 0001",0.8,110000000
247,"SSI Group, Inc.",https://www.pse.com.ph/company-information-ssi,SSI,"October 12, 2021",1.2,3298408430
248,SFA Semicon Philippines Corporation,https://www.pse.com.ph/company-information-ssp,SSP,"October 12, 2021",1.14,2165024111
249,"STI Education Systems Holdings, Inc.",https://www.pse.com.ph/company-information-sti,STI,"October 12, 2021",0.365,9904806924
250,Steniel Manufacturing Corporation,https://www.pse.com.ph/company-information-stn,STN,"January 01, 0001",0.26,1000000000
251,"Vistamalls, Inc.",https://www.pse.com.ph/company-information-str,STR,"October 12, 2021",3.8,8425981156
252,"Suntrust Home Developers, Inc.",https://www.pse.com.ph/company-information-sun,SUN,"October 12, 2021",1.48,7250000000
253,TKC Metals Corporation,https://www.pse.com.ph/company-information-t,T,"October 12, 2021",0.91,940000000
254,Transpacific Broadband Group Int`l. Inc.,https://www.pse.com.ph/company-information-tbgi,TBGI,"October 12, 2021",0.355,3795622000
255,Cirtek Holdings Philippines Corporation,https://www.pse.com.ph/company-information-tech,TECH,"October 12, 2021",4.31,668505825
256,PLDT Inc.,https://www.pse.com.ph/company-information-tel,TEL,"October 12, 2021",1620.0,216055775
257,PTFC Redevelopment Corporation,https://www.pse.com.ph/company-information-tfc,TFC,"October 12, 2021",43.1,35000000
258,"Top Frontier Investment Holdings, Inc.",https://www.pse.com.ph/company-information-tfhi,TFHI,"October 12, 2021",130.0,332886167
259,"Harbor Star Shipping Services, Inc.",https://www.pse.com.ph/company-information-tugs,TUGS,"October 12, 2021",1.04,894586870
260,Union Bank of the Philippines,https://www.pse.com.ph/company-information-ubp,UBP,"October 12, 2021",87.2,1219362818
261,"Unioil Resources & Holdings Company, Inc.",https://www.pse.com.ph/company-information-uni,UNI,"May 17, 2018",0.246,1589559977
262,United Paragon Mining Corporation,https://www.pse.com.ph/company-information-upm,UPM,"October 12, 2021",0.0069,261314797080
263,Universal Robina Corporation,https://www.pse.com.ph/company-information-urc,URC,"October 12, 2021",133.4,2204161868
264,"Vantage Equities, Inc.",https://www.pse.com.ph/company-information-v,V,"October 12, 2021",0.85,4199582266
265,Vitarich Corporation,https://www.pse.com.ph/company-information-vita,VITA,"October 12, 2021",0.77,3054334014
266,"Vista Land & Lifescapes, Inc.",https://www.pse.com.ph/company-information-vll,VLL,"October 12, 2021",3.59,12698007676
267,"Victorias Milling Company, Inc.",https://www.pse.com.ph/company-information-vmc,VMC,"October 12, 2021",2.48,2742050564
268,Vulcan Industrial & Mining Corporation,https://www.pse.com.ph/company-information-vul,VUL,"October 12, 2021",1.15,1450000000
269,Vivant Corporation,https://www.pse.com.ph/company-information-vvt,VVT,"October 12, 2021",15.0,1023456698
270,Philweb Corporation,https://www.pse.com.ph/company-information-web,WEB,"October 12, 2021",2.34,1435776680
271,"Wellex Industries, Inc.",https://www.pse.com.ph/company-information-win,WIN,"October 12, 2021",0.25,3271938180
272,"Wilcon Depot, Inc.",https://www.pse.com.ph/company-information-wlcon,WLCON,"October 12, 2021",28.65,4099724116
273,"Waterfront Philippines, Incorporated",https://www.pse.com.ph/company-information-wpi,WPI,"October 12, 2021",0.52,2498991753
274,"Zeus Holdings, Inc.",https://www.pse.com.ph/company-information-zhi,ZHI,"October 12, 2021",0.185,2737044807
